scenario,config,config_label,metric,n,median,iqr,q1,q3,ci95_low,ci95_high
spike,boot-t200,"Spring Boot, Tomcat 200",error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spike,boot-t200,"Spring Boot, Tomcat 200",rss_peak_bytes,5,1119145164.8000,56937676.8000,1067660083.2000,1124597760.0000,1060634624.0000,1152280166.4000
spike,boot-t200,"Spring Boot, Tomcat 200",rss_steady_bytes,5,1105408819.2000,51589939.2000,1056964608.0000,1108554547.2000,1047107993.6000,1112172134.4000
spike,boot-t200,"Spring Boot, Tomcat 200",cpu_mean_percent_of_one_core,5,48.5508,1.3665,48.0343,49.4008,46.5566,51.2892
spike,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_used_steady_bytes,5,72530368.0000,11425416.0000,66992608.0000,78418024.0000,64622776.0000,78618232.0000
spike,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_used_peak_bytes,5,121047528.0000,18914744.0000,107515968.0000,126430712.0000,97862312.0000,130176504.0000
spike,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_committed_steady_bytes,5,103809024.0000,10485760.0000,103809024.0000,114294784.0000,95420416.0000,128974848.0000
spike,boot-t200,"Spring Boot, Tomcat 200",jvm_heap_committed_peak_bytes,5,132120576.0000,19922944.0000,117440512.0000,137363456.0000,109051904.0000,149946368.0000
spike,boot-t200,"Spring Boot, Tomcat 200",gc_pause_count,5,129.0000,29.0000,122.0000,151.0000,101.0000,158.0000
spike,boot-t200,"Spring Boot, Tomcat 200",gc_pause_total_seconds,5,0.7450,0.0400,0.7100,0.7500,0.6520,0.7500
spike,boot-t200,"Spring Boot, Tomcat 200",tomcat_busy_threads_median,5,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
spike,boot-t200,"Spring Boot, Tomcat 200",tomcat_busy_threads_peak,5,4.0000,2.0000,3.0000,5.0000,2.0000,6.0000
spike,boot-t200,"Spring Boot, Tomcat 200",tomcat_threads_max_config,5,200.0000,0.0000,200.0000,200.0000,200.0000,200.0000
spike,boot-t200,"Spring Boot, Tomcat 200",db_pool_pending_median,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spike,boot-t200,"Spring Boot, Tomcat 200",db_pool_pending_peak,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spike,boot-t200,"Spring Boot, Tomcat 200",db_pool_active_peak,5,1.0000,1.0000,0.0000,1.0000,0.0000,1.0000
spike,boot-t200,"Spring Boot, Tomcat 200",db_wait_mean_ms,5,4.8119,16.5699,1.1674,17.7373,0.1810,47.6275
spike,boot-t200,"Spring Boot, Tomcat 200",probe_p50_ms,5,5.7065,0.1035,5.6900,5.7935,5.6750,5.8930
spike,boot-t200,"Spring Boot, Tomcat 200",probe_p95_ms,5,10.3972,0.2615,10.3395,10.6010,10.2945,10.9650
spike,boot-t200,"Spring Boot, Tomcat 200",probe_p99_ms,5,15.2020,3.1480,14.9480,18.0960,12.7550,19.6213
spike,boot-t200,"Spring Boot, Tomcat 200",k6_cpu_mean_percent_of_one_core,5,13.5323,0.2175,13.3502,13.5676,13.1265,13.6447
spike,boot-t200,"Spring Boot, Tomcat 200",k6_cpu_peak_percent_of_one_core,5,28.6301,0.2774,28.6040,28.8814,28.4589,29.5525
spike,boot-t200,"Spring Boot, Tomcat 200",k6_rss_peak_bytes,5,128696320.0000,933888.0000,128663552.0000,129597440.0000,127647744.0000,133529600.0000
spike,boot-t200,"Spring Boot, Tomcat 200",server_throughput_peak_rps,5,1005.6000,1.8000,1004.8000,1006.6000,993.4000,1007.0000
spike,boot-t200,"Spring Boot, Tomcat 200",ep_get_users_p95_ms,5,18.0936,1.9602,17.5520,19.5122,17.1490,22.3050
spike,boot-t200,"Spring Boot, Tomcat 200",ep_get_products_p95_ms,5,11.8533,0.8768,11.1020,11.9788,10.3600,12.3582
spike,boot-t64,"Spring Boot, Tomcat 64",client_p50_ms,5,3.3260,0.2380,3.2920,3.5300,3.1100,3.5950
spike,boot-t64,"Spring Boot, Tomcat 64",client_p95_ms,5,14.8350,1.4136,14.4804,15.8940,14.4240,16.3960
spike,boot-t64,"Spring Boot, Tomcat 64",client_p99_ms,5,24.4047,3.1075,22.6015,25.7090,22.4305,26.9837
spike,boot-t64,"Spring Boot, Tomcat 64",client_max_ms,5,634.2200,354.4810,501.1120,855.5930,202.2480,885.5470
spike,boot-t64,"Spring Boot, Tomcat 64",server_p50_ms,5,1.0333,0.0434,1.0273,1.0707,0.9803,1.0797
spike,boot-t64,"Spring Boot, Tomcat 64",server_p95_ms,5,3.8135,0.0925,3.7734,3.8659,3.6965,4.0511
spike,boot-t64,"Spring Boot, Tomcat 64",server_p99_ms,5,8.3833,1.0156,7.9067,8.9224,7.6195,9.0570
spike,boot-t64,"Spring Boot, Tomcat 64",server_mean_ms,5,1.9829,0.2315,1.7973,2.0289,1.5618,2.1408
spike,boot-t64,"Spring Boot, Tomcat 64",throughput_rps,5,431.3654,1.2623,431.1066,432.3689,430.9278,433.0137
spike,boot-t64,"Spring Boot, Tomcat 64",requests_total,5,64992.0000,116.0000,64902.0000,65018.0000,64880.0000,65162.0000
